instance,rows,cols,reference_objective,computed_objective,relative_error,status,verified,canonical_verified,original_verified,phase_one_iterations,phase_two_iterations,total_iterations,runtime_ms,max_primal_violation,max_dual_violation,pass
AFIRO,28,32,-464.753142857143,-464.75314285714285,3.669265269171984e-16,Optimal,True,True,True,45,3,48,0.693885,4.8309807969110695e-14,5.551115123125783e-17,True
ADLITTLE,57,97,225494.96316238,225494.96316238036,1.5487971907794267e-15,Optimal,True,True,True,433,164,597,33.762817,1.3642420526593924e-12,2.255973186038318e-13,True
SC50A,51,48,-64.575077058564,-64.57507705856453,8.142485435760573e-15,Optimal,True,True,True,55,0,55,2.407687,8.526512829121202e-14,1.1102230246251565e-16,True
SC50B,51,48,-70.0,-69.99999999999999,2.0301221021717148e-16,Optimal,True,True,True,48,0,48,2.063555,5.926509283327164e-14,8.326672684688674e-17,True
SC105,106,103,-52.202061211707,-52.20206121170726,5.036215163325354e-15,Optimal,True,True,True,212,0,212,65.443473,1.5631940186722204e-13,1.942890293094024e-16,True
SC205,206,203,-52.202061211707,-52.20206121170725,4.900101239992236e-15,Optimal,True,True,True,714,0,714,1377.218292,2.2737367544323206e-13,1.1102230246251565e-16,True
SHARE2B,97,79,-415.732240741418,-415.732240741418,0.0,Optimal,True,True,True,328,91,419,100.357072,3.019806626980426e-13,9.14823772291129e-14,True
SHARE1B,118,225,-76589.3185791855,-76589.3185791855,0.0,Optimal,True,True,True,752,514,1266,441.22309,4.5999447592724296e-10,2.0762905283966404e-14,True
RECIPE,92,180,-266.616,-266.616,0.0,Optimal,True,True,True,225,0,225,183.601245,0,2.203098814490545e-16,True
SCAGR7,130,140,-2331389.82433098,-2331389.824330983,1.3981484250878396e-15,Optimal,True,True,True,264,146,410,202.749827,3.963940287121659e-12,5.906386491005833e-13,True
BEACONFD,174,262,33592.4858072,33592.485807200006,2.1659479610835895e-16,Optimal,True,True,True,286,61,347,244.066077,7.949174651855628e-11,2.250370029210913e-15,True
SCORPION,389,358,1878.1248227381,1878.1248227381072,3.8740543365887035e-15,Optimal,True,True,True,463,48,511,5786.998807,1.5543122344752192e-15,2.294275880387886e-13,True
